Year,Quarter,Region,Economic Activity,Enterprise size,Number of enterprises,Number of Saudi employees,Number of Saudi male employees,Number of Saudi female employees,Number of Non Saudi employees,Number of Non Saudi male employees,Number of Non Saudi female employees
2023,1,Qassim Region,Manufacture of electrical equipment,Medium,2,24,13,11,128,128,0
2023,1,Medina Region,Manufacture of electrical equipment,Small,11,52,36,16,155,153,2
2023,1,Medina Region,Manufacture of electrical equipment,Large,1,112,103,9,300,300,0
2023,1,Medina Region,Manufacture of electrical equipment,Micro,40,5,4,1,75,75,0
2023,1,Medina Region,Manufacture of electrical equipment,Medium,2,71,39,32,244,244,0
2023,1,Tabuk Region,Manufacture of electrical equipment,Small,1,3,0,3,7,7,0
2023,1,Tabuk Region,Manufacture of electrical equipment,Micro,8,0,0,0,16,16,0
2023,1,Jazan Region,Manufacture of electrical equipment,Micro,28,1,1,0,77,77,0
2023,1,Hail Region,Manufacture of electrical equipment,Small,2,6,4,2,11,11,0
2023,1,Hail Region,Manufacture of electrical equipment,Micro,12,3,1,2,37,37,0
2023,1,Hail Region,Manufacture of electrical equipment,Medium,1,37,13,24,91,91,0
2023,1,Asir Region,Manufacture of electrical equipment,Small,5,8,6,2,32,32,0
2023,1,Asir Region,Manufacture of electrical equipment,Micro,27,5,3,2,55,55,0
2023,1,Asir Region,Manufacture of electrical equipment,Medium,2,29,11,18,87,87,0
2023,1,Makkah Region,Manufacture of electrical equipment,Small,45,195,108,87,744,742,2
2023,1,Makkah Region,Manufacture of electrical equipment,Large,2,292,269,23,837,836,1
2023,1,Makkah Region,Manufacture of electrical equipment,Micro,136,29,21,8,269,263,6
2023,1,Makkah Region,Manufacture of electrical equipment,Medium,10,247,163,84,804,801,3
2023,1,Najran Region,Manufacture of electrical equipment,Small,2,5,3,2,30,30,0
2023,1,Najran Region,Manufacture of electrical equipment,Micro,7,2,0,2,15,15,0
2023,1,Eastern Region,Beverage making,Small,23,81,43,38,359,358,1
2023,1,Eastern Region,Beverage making,Large,4,577,379,198,1501,1500,1
2023,1,Eastern Region,Beverage making,Micro,35,9,5,4,64,63,1
2023,1,Eastern Region,Beverage making,Medium,6,160,65,95,488,485,3
2023,1,Al Bahah Region,Beverage making,Small,3,12,9,3,57,57,0
2023,1,Al Bahah Region,Beverage making,Micro,3,1,0,1,6,6,0
2023,1,Al Bahah Region,Beverage making,Medium,2,70,11,59,180,180,0
2023,1,Al-Jawf Region,Beverage making,Small,3,5,2,3,17,17,0
2023,1,Al-Jawf Region,Beverage making,Micro,5,1,1,0,9,9,0
2023,1,Al-Jawf Region,Beverage making,Medium,1,16,9,7,50,50,0
2023,1,Northern border Region,Beverage making,Small,1,3,2,1,12,12,0
2023,1,Riyadh Region,Beverage making,Small,37,172,84,88,572,572,0
2023,1,Riyadh Region,Beverage making,Large,12,1974,1324,650,4667,4659,8
2023,1,Riyadh Region,Beverage making,Micro,77,26,12,14,160,160,0
2023,1,Riyadh Region,Beverage making,Medium,33,938,366,572,2685,2680,5
2023,1,Qassim Region,Beverage making,Small,9,35,15,20,135,135,0
2023,1,Qassim Region,Beverage making,Large,2,384,176,208,779,779,0
2023,1,Qassim Region,Beverage making,Micro,13,2,1,1,22,22,0
2023,1,Qassim Region,Beverage making,Medium,4,155,46,109,437,437,0
2023,1,Medina Region,Beverage making,Small,13,69,38,31,233,232,1
2023,1,Medina Region,Beverage making,Micro,15,4,2,2,27,27,0
2023,1,Medina Region,Beverage making,Medium,6,196,77,119,556,555,1
2023,1,Tabuk Region,Beverage making,Small,4,20,12,8,74,74,0
2023,1,Tabuk Region,Beverage making,Micro,15,4,4,0,38,38,0
2023,1,Tabuk Region,Beverage making,Medium,2,75,41,34,151,151,0
2023,1,Jazan Region,Beverage making,Small,8,21,8,13,89,89,0
2023,1,Jazan Region,Beverage making,Large,1,61,45,16,196,196,0
2023,1,Jazan Region,Beverage making,Micro,21,4,3,1,50,50,0
2023,1,Jazan Region,Beverage making,Medium,5,188,113,75,575,575,0
2023,1,Hail Region,Beverage making,Small,5,21,14,7,66,66,0
2023,1,Hail Region,Beverage making,Large,1,131,50,81,261,259,2
2023,1,Hail Region,Beverage making,Micro,6,2,2,0,8,8,0
2023,1,Hail Region,Beverage making,Medium,1,16,8,8,44,43,1
2023,1,Asir Region,Beverage making,Small,12,37,29,8,198,198,0
2023,1,Asir Region,Beverage making,Large,1,141,122,19,310,310,0
2023,1,Asir Region,Beverage making,Micro,21,3,1,2,48,48,0
2023,1,Asir Region,Beverage making,Medium,2,57,34,23,125,125,0
2023,1,Makkah Region,Beverage making,Small,41,190,87,103,651,648,3
2023,1,Makkah Region,Beverage making,Large,7,1258,924,334,2511,2505,6
2023,1,Makkah Region,Beverage making,Micro,98,29,18,11,188,187,1
2023,1,Makkah Region,Beverage making,Medium,25,645,347,298,1917,1913,4
2023,1,Najran Region,Beverage making,Small,2,17,5,12,67,67,0
2023,1,Najran Region,Beverage making,Micro,5,0,0,0,11,11,0
2023,1,Najran Region,Beverage making,Medium,2,115,95,20,250,250,0
2023,1,Eastern Region,Manufacture of basic metals,Small,96,474,306,168,1509,1508,1
2023,1,Eastern Region,Manufacture of basic metals,Large,20,2875,2616,259,5160,5158,2
2023,1,Eastern Region,Manufacture of basic metals,Micro,108,50,40,10,200,200,0
2023,1,Eastern Region,Manufacture of basic metals,Medium,61,2036,1428,608,4860,4859,1
2023,1,Al Bahah Region,Manufacture of basic metals,Micro,10,1,1,0,18,18,0
2023,1,Al-Jawf Region,Manufacture of basic metals,Small,2,0,0,0,12,12,0
2023,1,Al-Jawf Region,Manufacture of basic metals,Micro,15,4,4,0,36,36,0
2023,1,Northern border Region,Manufacture of basic metals,Micro,10,3,3,0,23,23,0
2023,1,Riyadh Region,Manufacture of basic metals,Small,180,698,334,364,2563,2547,16
2023,1,Riyadh Region,Manufacture of basic metals,Large,11,1092,711,381,2931,2925,6
2023,1,Riyadh Region,Manufacture of basic metals,Micro,337,74,37,37,754,752,2
2023,1,Riyadh Region,Manufacture of basic metals,Medium,62,1559,904,655,4896,4864,32
2023,1,Qassim Region,Manufacture of basic metals,Small,13,30,22,8,234,233,1
2023,1,Qassim Region,Manufacture of basic metals,Micro,65,8,4,4,126,125,1
2023,1,Qassim Region,Manufacture of basic metals,Medium,6,60,38,22,335,335,0
2023,1,Medina Region,Manufacture of basic metals,Small,10,32,19,13,150,149,1
2023,1,Medina Region,Manufacture of basic metals,Micro,49,8,3,5,116,116,0
2023,1,Medina Region,Manufacture of basic metals,Medium,3,261,213,48,321,321,0
2023,1,Tabuk Region,Manufacture of basic metals,Small,5,2,1,1,38,38,0
2023,1,Tabuk Region,Manufacture of basic metals,Micro,10,2,1,1,19,19,0
2023,1,Tabuk Region,Manufacture of basic metals,Medium,2,81,30,51,208,208,0
2023,1,Jazan Region,Manufacture of basic metals,Small,2,8,4,4,28,28,0
2023,1,Jazan Region,Manufacture of basic metals,Large,1,150,150,0,115,115,0
2023,1,Jazan Region,Manufacture of basic metals,Micro,36,5,3,2,85,85,0
2023,1,Jazan Region,Manufacture of basic metals,Medium,2,102,88,14,244,244,0
2023,1,Hail Region,Manufacture of basic metals,Small,2,3,2,1,13,13,0
2023,1,Hail Region,Manufacture of basic metals,Micro,36,4,1,3,81,81,0
2023,1,Hail Region,Manufacture of basic metals,Medium,2,23,8,15,96,96,0
2023,1,Asir Region,Manufacture of basic metals,Small,17,46,34,12,198,197,1
2023,1,Asir Region,Manufacture of basic metals,Micro,66,6,2,4,135,135,0
2023,1,Asir Region,Manufacture of basic metals,Medium,2,56,55,1,153,153,0
2023,1,Makkah Region,Manufacture of basic metals,Small,88,372,205,167,1427,1419,8
2023,1,Makkah Region,Manufacture of basic metals,Large,12,1413,881,532,3129,3126,3
2023,1,Makkah Region,Manufacture of basic metals,Micro,174,71,37,34,376,373,3
2023,1,Makkah Region,Manufacture of basic metals,Medium,32,997,678,319,2610,2600,10
2023,1,Najran Region,Manufacture of basic metals,Small,1,3,0,3,10,10,0
2023,1,Najran Region,Manufacture of basic metals,Large,1,221,218,3,360,360,0
2023,1,Najran Region,Manufacture of basic metals,Micro,38,5,2,3,69,69,0
2023,1,Najran Region,Manufacture of basic metals,Medium,1,31,15,16,107,107,0
2023,1,Eastern Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Small,182,489,256,233,2065,2054,11
2023,1,Eastern Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Large,1,61,61,0,249,249,0
2023,1,Eastern Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Micro,419,166,66,100,993,990,3
2023,1,Eastern Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Medium,15,396,236,160,1253,1250,3
2023,1,Al Bahah Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Small,11,21,12,9,74,74,0
2023,1,Al Bahah Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Micro,86,19,12,7,205,204,1
2023,1,Al Bahah Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Medium,1,40,36,4,146,146,0
2023,1,Al-Jawf Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Small,13,16,6,10,88,88,0
2023,1,Al-Jawf Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Micro,86,12,7,5,178,177,1
2023,1,Northern border Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Small,2,4,4,0,10,10,0
2023,1,Northern border Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Micro,49,5,1,4,108,108,0
2023,1,Riyadh Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Small,299,756,274,482,3418,3392,26
2023,1,Riyadh Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Micro,966,276,104,172,2266,2257,9
2023,1,Riyadh Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Medium,34,853,286,567,2542,2467,75
2023,1,Qassim Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Small,27,74,35,39,312,312,0
2023,1,Qassim Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Large,1,67,44,23,202,202,0
2023,1,Qassim Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Micro,266,49,23,26,654,654,0
2023,1,Qassim Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Medium,2,28,13,15,121,121,0
2023,1,Medina Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Small,25,67,40,27,259,259,0
2023,1,Medina Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Micro,161,34,21,13,391,391,0
2023,1,Medina Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Medium,2,36,20,16,91,91,0
2023,1,Tabuk Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Small,13,19,9,10,80,80,0
2023,1,Tabuk Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Micro,91,9,4,5,212,212,0
2023,1,Jazan Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Small,12,13,9,4,84,83,1
2023,1,Jazan Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Micro,210,23,11,12,518,516,2
2023,1,Jazan Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Medium,2,31,5,26,134,134,0
2023,1,Hail Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Small,10,17,10,7,102,102,0
2023,1,Hail Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Micro,56,14,6,8,127,127,0
2023,1,Asir Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Small,34,68,39,29,355,354,1
2023,1,Asir Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Micro,299,59,23,36,688,686,2
2023,1,Asir Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Medium,1,12,5,7,43,43,0
2023,1,Makkah Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Small,129,376,154,222,1478,1472,6
2023,1,Makkah Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Large,2,181,147,34,564,564,0
2023,1,Makkah Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Micro,703,148,74,74,1613,1604,9
2023,1,Makkah Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Medium,13,348,168,180,979,970,9
2023,1,Najran Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Small,2,4,1,3,10,10,0
2023,1,Najran Region,"Manufacture of wood, wood and cork products, except furniture, manufacture of straw and plaiting materials",Micro,86,7,3,4,202,202,0
2023,1,Eastern Region,"Manufacture of computers, electronic and optical products",Small,20,120,84,36,297,297,0
2023,1,Eastern Region,"Manufacture of computers, electronic and optical products",Micro,46,24,16,8,76,74,2
2023,1,Eastern Region,"Manufacture of computers, electronic and optical products",Medium,5,168,105,63,350,350,0
2023,1,Al Bahah Region,"Manufacture of computers, electronic and optical products",Micro,7,5,5,0,8,8,0
2023,1,Al-Jawf Region,"Manufacture of computers, electronic and optical products",Micro,4,0,0,0,12,12,0
2023,1,Northern border Region,"Manufacture of computers, electronic and optical products",Micro,4,1,1,0,6,6,0
2023,1,Riyadh Region,"Manufacture of computers, electronic and optical products",Small,26,116,80,36,323,319,4
2023,1,Riyadh Region,"Manufacture of computers, electronic and optical products",Micro,71,35,16,19,129,129,0
2023,1,Riyadh Region,"Manufacture of computers, electronic and optical products",Medium,3,63,28,35,153,152,1
2023,1,Qassim Region,"Manufacture of computers, electronic and optical products",Micro,7,0,0,0,12,12,0
2023,1,Medina Region,"Manufacture of computers, electronic and optical products",Small,5,19,17,2,32,32,0
2023,1,Medina Region,"Manufacture of computers, electronic and optical products",Micro,13,2,1,1,26,26,0
2023,1,Tabuk Region,"Manufacture of computers, electronic and optical products",Micro,11,1,0,1,16,16,0
2023,1,Jazan Region,"Manufacture of computers, electronic and optical products",Small,1,0,0,0,17,17,0
2023,1,Jazan Region,"Manufacture of computers, electronic and optical products",Micro,19,2,2,0,33,33,0
2023,1,Hail Region,"Manufacture of computers, electronic and optical products",Micro,7,0,0,0,16,16,0
2023,1,Asir Region,"Manufacture of computers, electronic and optical products",Small,2,3,2,1,10,10,0
2023,1,Asir Region,"Manufacture of computers, electronic and optical products",Micro,37,1,1,0,71,71,0
2023,1,Makkah Region,"Manufacture of computers, electronic and optical products",Small,20,44,25,19,180,177,3
2023,1,Makkah Region,"Manufacture of computers, electronic and optical products",Large,1,88,83,5,176,176,0
2023,1,Makkah Region,"Manufacture of computers, electronic and optical products",Micro,122,54,32,22,216,216,0
2023,1,Makkah Region,"Manufacture of computers, electronic and optical products",Medium,2,65,47,18,80,77,3
2023,1,Najran Region,"Manufacture of computers, electronic and optical products",Micro,5,1,0,1,14,14,0
2023,1,Eastern Region,Furniture making,Small,163,525,244,281,2203,2195,8
2023,1,Eastern Region,Furniture making,Large,3,128,70,58,705,702,3
2023,1,Eastern Region,Furniture making,Micro,543,115,49,66,1329,1327,2
2023,1,Eastern Region,Furniture making,Medium,30,698,353,345,2121,2113,8
2023,1,Al Bahah Region,Furniture making,Small,9,5,4,1,87,87,0
2023,1,Al Bahah Region,Furniture making,Micro,94,10,6,4,242,242,0
2023,1,Al-Jawf Region,Furniture making,Small,7,11,8,3,55,55,0
2023,1,Al-Jawf Region,Furniture making,Micro,124,13,7,6,267,266,1
2023,1,Northern border Region,Furniture making,Small,4,9,7,2,34,34,0
2023,1,Northern border Region,Furniture making,Micro,94,13,8,5,241,241,0
2023,1,Riyadh Region,Furniture making,Small,440,1151,436,715,5722,5703,19
2023,1,Riyadh Region,Furniture making,Large,11,978,415,563,3346,3339,7
2023,1,Riyadh Region,Furniture making,Micro,1449,209,86,123,3536,3524,12
2023,1,Riyadh Region,Furniture making,Medium,89,2088,807,1281,6666,6633,33
2023,1,Qassim Region,Furniture making,Small,60,127,80,47,663,659,4
2023,1,Qassim Region,Furniture making,Large,1,79,25,54,346,346,0
2023,1,Qassim Region,Furniture making,Micro,215,28,20,8,542,541,1
2023,1,Qassim Region,Furniture making,Medium,10,145,85,60,605,605,0
2023,1,Medina Region,Furniture making,Small,39,51,30,21,398,395,3
2023,1,Medina Region,Furniture making,Micro,277,46,27,19,639,637,2
2023,1,Medina Region,Furniture making,Medium,1,16,13,3,36,36,0
2023,1,Tabuk Region,Furniture making,Small,21,12,4,8,170,170,0
2023,1,Tabuk Region,Furniture making,Micro,222,18,10,8,593,588,5
2023,1,Jazan Region,Furniture making,Small,21,14,9,5,161,160,1
2023,1,Jazan Region,Furniture making,Micro,399,32,16,16,1107,1101,6
2023,1,Hail Region,Furniture making,Small,20,42,26,16,226,225,1
2023,1,Hail Region,Furniture making,Micro,153,15,9,6,362,362,0
2023,1,Asir Region,Furniture making,Small,67,128,69,59,695,694,1
2023,1,Asir Region,Furniture making,Micro,566,63,46,17,1354,1351,3
2023,1,Asir Region,Furniture making,Medium,4,68,37,31,177,177,0
2023,1,Makkah Region,Furniture making,Small,115,222,114,108,1268,1261,7
2023,1,Makkah Region,Furniture making,Large,1,77,51,26,270,269,1
2023,1,Makkah Region,Furniture making,Micro,739,108,50,58,1765,1757,8
2023,1,Makkah Region,Furniture making,Medium,32,871,335,536,2650,2635,15
2023,1,Najran Region,Furniture making,Small,15,33,11,22,179,179,0
2023,1,Najran Region,Furniture making,Micro,109,15,6,9,284,284,0
2023,1,Najran Region,Furniture making,Medium,3,82,21,61,267,267,0
2023,1,Eastern Region,Manufacture of other transportation equipment,Small,5,22,7,15,61,60,1
2023,1,Eastern Region,Manufacture of other transportation equipment,Large,3,2928,2854,74,785,785,0
2023,1,Eastern Region,Manufacture of other transportation equipment,Micro,12,5,3,2,22,22,0
2023,1,Eastern Region,Manufacture of other transportation equipment,Medium,3,49,42,7,161,161,0
2023,1,Al Bahah Region,Manufacture of other transportation equipment,Micro,1,0,0,0,1,1,0
2023,1,Al-Jawf Region,Manufacture of other transportation equipment,Micro,1,0,0,0,1,1,0
2023,1,Northern border Region,Manufacture of other transportation equipment,Micro,1,0,0,0,3,3,0
2023,1,Riyadh Region,Manufacture of other transportation equipment,Small,14,97,74,23,157,155,2
2023,1,Riyadh Region,Manufacture of other transportation equipment,Large,2,1314,1261,53,767,767,0
2023,1,Riyadh Region,Manufacture of other transportation equipment,Micro,66,21,8,13,144,143,1
2023,1,Riyadh Region,Manufacture of other transportation equipment,Medium,5,183,103,80,259,259,0
2023,1,Qassim Region,Manufacture of other transportation equipment,Micro,1,0,0,0,1,1,0
2023,1,Medina Region,Manufacture of other transportation equipment,Small,2,1,1,0,16,16,0
2023,1,Medina Region,Manufacture of other transportation equipment,Micro,8,2,2,0,12,12,0
2023,1,Tabuk Region,Manufacture of other transportation equipment,Micro,1,1,0,1,1,1,0
2023,1,Jazan Region,Manufacture of other transportation equipment,Small,1,7,6,1,30,30,0
2023,1,Jazan Region,Manufacture of other transportation equipment,Micro,5,0,0,0,16,16,0
2023,1,Hail Region,Manufacture of other transportation equipment,Micro,1,0,0,0,3,3,0
2023,1,Asir Region,Manufacture of other transportation equipment,Micro,5,1,1,0,14,14,0
2023,1,Makkah Region,Manufacture of other transportation equipment,Small,5,54,13,41,84,78,6
2023,1,Makkah Region,Manufacture of other transportation equipment,Micro,28,8,5,3,59,57,2
2023,1,Makkah Region,Manufacture of other transportation equipment,Medium,3,19,13,6,161,161,0
2023,1,Najran Region,Manufacture of other transportation equipment,Small,1,0,0,0,6,6,0
2023,1,Najran Region,Manufacture of other transportation equipment,Micro,3,1,0,1,6,6,0
2023,1,Eastern Region,"Manufacture of motor vehicles, trailers and semi-trailers",Small,26,148,91,57,408,408,0
2023,1,Eastern Region,"Manufacture of motor vehicles, trailers and semi-trailers",Large,2,298,282,16,807,807,0
2023,1,Eastern Region,"Manufacture of motor vehicles, trailers and semi-trailers",Micro,29,8,6,2,68,68,0
2023,1,Eastern Region,"Manufacture of motor vehicles, trailers and semi-trailers",Medium,10,358,270,88,1005,1004,1
2023,1,Al Bahah Region,"Manufacture of motor vehicles, trailers and semi-trailers",Micro,2,0,0,0,3,3,0
2023,1,Al-Jawf Region,"Manufacture of motor vehicles, trailers and semi-trailers",Small,1,2,2,0,8,8,0
2023,1,Al-Jawf Region,"Manufacture of motor vehicles, trailers and semi-trailers",Micro,9,1,1,0,18,18,0
2023,1,Northern border Region,"Manufacture of motor vehicles, trailers and semi-trailers",Micro,1,0,0,0,2,2,0
2023,1,Riyadh Region,"Manufacture of motor vehicles, trailers and semi-trailers",Small,35,163,94,69,626,625,1
2023,1,Riyadh Region,"Manufacture of motor vehicles, trailers and semi-trailers",Large,2,204,68,136,944,940,4
2023,1,Riyadh Region,"Manufacture of motor vehicles, trailers and semi-trailers",Micro,59,23,11,12,131,130,1
2023,1,Riyadh Region,"Manufacture of motor vehicles, trailers and semi-trailers",Medium,14,330,132,198,857,849,8
2023,1,Qassim Region,"Manufacture of motor vehicles, trailers and semi-trailers",Small,9,48,28,20,141,141,0
2023,1,Qassim Region,"Manufacture of motor vehicles, trailers and semi-trailers",Large,1,101,79,22,259,259,0
2023,1,Qassim Region,"Manufacture of motor vehicles, trailers and semi-trailers",Micro,11,1,1,0,29,29,0
2023,1,Medina Region,"Manufacture of motor vehicles, trailers and semi-trailers",Small,2,1,1,0,21,21,0
2023,1,Medina Region,"Manufacture of motor vehicles, trailers and semi-trailers",Micro,14,2,0,2,32,32,0
2023,1,Tabuk Region,"Manufacture of motor vehicles, trailers and semi-trailers",Small,1,11,3,8,27,27,0
2023,1,Tabuk Region,"Manufacture of motor vehicles, trailers and semi-trailers",Micro,5,3,2,1,19,19,0
2023,1,Jazan Region,"Manufacture of motor vehicles, trailers and semi-trailers",Small,1,4,1,3,17,17,0
2023,1,Jazan Region,"Manufacture of motor vehicles, trailers and semi-trailers",Micro,12,1,1,0,33,33,0
2023,1,Hail Region,"Manufacture of motor vehicles, trailers and semi-trailers",Small,1,0,0,0,6,6,0
2023,1,Hail Region,"Manufacture of motor vehicles, trailers and semi-trailers",Micro,5,1,1,0,10,10,0
2023,1,Asir Region,"Manufacture of motor vehicles, trailers and semi-trailers",Small,1,1,0,1,5,5,0
2023,1,Asir Region,"Manufacture of motor vehicles, trailers and semi-trailers",Micro,9,2,1,1,18,18,0
2023,1,Makkah Region,"Manufacture of motor vehicles, trailers and semi-trailers",Small,15,60,44,16,176,176,0
2023,1,Makkah Region,"Manufacture of motor vehicles, trailers and semi-trailers",Large,1,85,66,19,220,220,0
2023,1,Makkah Region,"Manufacture of motor vehicles, trailers and semi-trailers",Micro,41,10,7,3,97,97,0
2023,1,Makkah Region,"Manufacture of motor vehicles, trailers and semi-trailers",Medium,9,415,279,136,788,788,0
2023,1,Najran Region,"Manufacture of motor vehicles, trailers and semi-trailers",Micro,8,1,0,1,13,13,0
2023,1,Eastern Region,Manufacture of machinery and equipment not classified elsewhere,Small,72,526,379,147,1130,1128,2
2023,1,Eastern Region,Manufacture of machinery and equipment not classified elsewhere,Large,7,1599,1467,132,2101,2099,2
2023,1,Eastern Region,Manufacture of machinery and equipment not classified elsewhere,Micro,67,30,19,11,127,126,1
2023,1,Eastern Region,Manufacture of machinery and equipment not classified elsewhere,Medium,37,1519,1282,237,2365,2361,4
2023,1,Al Bahah Region,Manufacture of machinery and equipment not classified elsewhere,Small,1,1,0,1,5,5,0
2023,1,Al Bahah Region,Manufacture of machinery and equipment not classified elsewhere,Micro,6,4,3,1,9,9,0
2023,1,Al-Jawf Region,Manufacture of machinery and equipment not classified elsewhere,Micro,2,0,0,0,6,6,0
2023,1,Northern border Region,Manufacture of machinery and equipment not classified elsewhere,Micro,3,0,0,0,10,10,0
2023,1,Riyadh Region,Manufacture of machinery and equipment not classified elsewhere,Small,91,335,169,166,1436,1429,7
2023,1,Riyadh Region,Manufacture of machinery and equipment not classified elsewhere,Large,2,253,100,153,499,498,1
2023,1,Riyadh Region,Manufacture of machinery and equipment not classified elsewhere,Micro,274,63,36,27,616,611,5
2023,1,Riyadh Region,Manufacture of machinery and equipment not classified elsewhere,Medium,31,925,505,420,2743,2738,5
2023,1,Qassim Region,Manufacture of machinery and equipment not classified elsewhere,Small,4,8,5,3,32,32,0
2023,1,Qassim Region,Manufacture of machinery and equipment not classified elsewhere,Micro,31,4,3,1,61,61,0
2023,1,Qassim Region,Manufacture of machinery and equipment not classified elsewhere,Medium,3,72,33,39,209,209,0
2023,1,Medina Region,Manufacture of machinery and equipment not classified elsewhere,Small,5,31,17,14,82,81,1
2023,1,Medina Region,Manufacture of machinery and equipment not classified elsewhere,Micro,19,1,0,1,52,52,0
2023,1,Medina Region,Manufacture of machinery and equipment not classified elsewhere,Medium,4,58,34,24,237,237,0
2023,1,Tabuk Region,Manufacture of machinery and equipment not classified elsewhere,Micro,6,1,1,0,11,11,0
2023,1,Jazan Region,Manufacture of machinery and equipment not classified elsewhere,Small,2,2,1,1,21,21,0
2023,1,Jazan Region,Manufacture of machinery and equipment not classified elsewhere,Micro,18,1,0,1,46,46,0
2023,1,Hail Region,Manufacture of machinery and equipment not classified elsewhere,Small,1,16,16,0,3,3,0
2023,1,Hail Region,Manufacture of machinery and equipment not classified elsewhere,Micro,13,0,0,0,29,29,0
2023,1,Asir Region,Manufacture of machinery and equipment not classified elsewhere,Small,4,16,13,3,58,57,1
2023,1,Asir Region,Manufacture of machinery and equipment not classified elsewhere,Micro,17,2,1,1,30,30,0
2023,1,Asir Region,Manufacture of machinery and equipment not classified elsewhere,Medium,3,71,71,0,182,182,0
2023,1,Makkah Region,Manufacture of machinery and equipment not classified elsewhere,Small,37,145,70,75,512,510,2
2023,1,Makkah Region,Manufacture of machinery and equipment not classified elsewhere,Large,2,652,639,13,1073,1069,4
2023,1,Makkah Region,Manufacture of machinery and equipment not classified elsewhere,Micro,83,23,15,8,166,165,1
2023,1,Makkah Region,Manufacture of machinery and equipment not classified elsewhere,Medium,18,536,369,167,1319,1312,7
2023,1,Najran Region,Manufacture of machinery and equipment not classified elsewhere,Small,1,0,0,0,6,6,0
2023,1,Najran Region,Manufacture of machinery and equipment not classified elsewhere,Micro,10,1,0,1,27,27,0
2023,1,Najran Region,Manufacture of machinery and equipment not classified elsewhere,Medium,1,0,0,0,90,90,0
2023,1,Eastern Region,"Connecting electricity, gas, steam and air conditioning",Small,53,302,221,81,622,621,1
2023,1,Eastern Region,"Connecting electricity, gas, steam and air conditioning",Large,1,6016,6004,12,467,467,0
2023,1,Eastern Region,"Connecting electricity, gas, steam and air conditioning",Micro,62,38,21,17,123,121,2
2023,1,Eastern Region,"Connecting electricity, gas, steam and air conditioning",Medium,7,270,216,54,293,293,0
2023,1,Al Bahah Region,"Connecting electricity, gas, steam and air conditioning",Micro,4,3,3,0,8,8,0
2023,1,Al-Jawf Region,"Connecting electricity, gas, steam and air conditioning",Micro,6,1,1,0,10,10,0
2023,1,Northern border Region,"Connecting electricity, gas, steam and air conditioning",Micro,3,1,1,0,7,7,0
2023,1,Riyadh Region,"Connecting electricity, gas, steam and air conditioning",Small,70,359,202,157,795,791,4
2023,1,Riyadh Region,"Connecting electricity, gas, steam and air conditioning",Large,2,10490,10092,398,951,946,5
